Change Footprint: Cannot match pads with new footprint in component :F1 Footprint:FP-64600001223-MFG
Change Component Comment : Designator=F1 Old Comment=0031.8231 New Comment=64600001223
Change Managed Component Library Link : Designator=F1 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=67D270D8-002C-46FE-9B71-A69F385E2EA6 New ItemGUID=6AA7E718-27CE-413E-8378-DDC253774ACD Old RevisionGUID=871308A8-C45D-4530-ABB7-2DA856E8C88F New RevisionGUID=FB2C432F-14F5-41FF-AE6B-C9E0197AB731
Change component parameters: Designator = "F1" ("F1"); Footprint = "FP-0031_8231-MFG"; UniqueID = "\WSUKAZXA" ("\WSUKAZXA")
Change component parameters (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Fuse"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.littelfuse.com/~/media/electronics/datasheets/fuse_blocks/littelfuse_fuse_block_646_datasheet.pdf.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn Orientation"; Value = "Horizontal"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L1"; Value = "Circuit Protection"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L2"; Value = "Fuse Holders"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L3"; Value = "unset"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey Description"; Value = "FUSE BLOCK CART 250V 6.3A PCB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Fuse Current"; Value = "6.3A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "12mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Littelfuse Inc"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "64600001223"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Description"; Value = "Fuse Holder Screw Mount Bulk"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number Of Fuses"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Octopart"; Value = "https://octopart.com/64600001223-littelfuse-39645661"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating Ac"; Value = "250V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating Dc"; Value = "250V"; VariantName = "[No Variations]"
