Removed Pin From Net: NetName=GND Pin=C1-1
Removed Pin From Net: NetName=+12V Pin=C1-2
Removed Pin From Net: NetName=+3.3V Pin=C5-2
Removed Pin From Net: NetName=+3.3V Pin=D1-1
Removed Pin From Net: NetName=+12V Pin=D1-2
Change Component Footprint: Designator=D1 Old Footprint=DO-41 New Footprint=ONSC-SOD-323-2-477-02_V
Change Component Footprint: Designator=C1 Old Footprint=FP-T491D106K035AT-MFG New Footprint=FP-TAJD-MFG
Change Component Footprint: Designator=C5 Old Footprint=FP-T491D107K016AT-MFG New Footprint=FP-TAJD-MFG
Change Component Comment : Designator=C1 Old Comment=10uF New Comment=47uF
Change Component Comment : Designator=D1 Old Comment=Diode 1N4007 New Comment=BAT54HT1G
Change Component Comment : Designator=C5 Old Comment=T491D107K016AT New Comment=47uF
Change Managed Component Library Link : Designator=C1 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=7AFA89ED-5E35-431F-9342-C1CAB919389C New ItemGUID=DB600BB3-92F3-447A-8DF5-560AEA0DAD4D Old RevisionGUID=E3A8E20F-9468-4966-96AB-E46BF96FF8A5 New RevisionGUID=C900A3BE-9A04-476B-B175-1A5AA2D90394
Change Managed Component Library Link : Designator=C5 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=CA1D93FD-31B7-4C6E-9E2C-41B81A655C1C New ItemGUID=DB600BB3-92F3-447A-8DF5-560AEA0DAD4D Old RevisionGUID=1EA0B0E3-8520-455B-AB75-B2B0CF05F0EC New RevisionGUID=C900A3BE-9A04-476B-B175-1A5AA2D90394
Change Managed Component Library Link : Designator=D1 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=C2195BAC-4F48-4134-882F-5FEA038592C8 Old RevisionGUID= New RevisionGUID=8D1746BC-DED3-45C2-9185-95A5DA0BC503
Change component parameters: Designator = "C1" ("C1"); Footprint = "FP-T491D106K035AT-MFG"; UniqueID = "\EXFVKJMX" ("\EXFVKJMX")
Change component parameters (AddParameter): Name = "Capacitance"; Value = "47uF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Imperial)"; Value = "2917"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code (Metric)"; Value = "7343"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "2917"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Construction"; Value = "Flat"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = "4.3mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric Material"; Value = "Tantalum"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dissipation Factor"; Value = "6%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ESR (Equivalent Series Resistance)"; Value = "900mR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Features"; Value = "General Purpose"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "2.9mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height - Seated (Max)"; Value = "0.122inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Pitch"; Value = "4.4mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Leakage Current"; Value = "6uA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "7.3mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
