Removed Pin From Net: NetName=GND Pin=J1-1
Removed Pin From Net: NetName=NetF1_1 Pin=J1-2
Change Component Footprint: Designator=J1 Old Footprint=PHOE-1714955_V New Footprint=FP-4-644456-0-MFG
Change Component Comment : Designator=J1 Old Comment=1714955 New Comment=4-644456-0
Change Component Comment : Designator=D3 Old Comment=SMBJ15A-E3/52 New Comment=TVS-15V
Change Managed Component Library Link : Designator=J1 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=9A2224CE-E6A1-4697-97B0-BA74C68A54A9 New ItemGUID=56FED4AE-E70B-42FB-98C8-7953A23D7887 Old RevisionGUID=20C6CDE6-55B0-408A-A534-FBF9D64DEC67 New RevisionGUID=510A8546-EC0B-48D2-B0E7-6FF7BA108FBE
Change component parameters: Designator = "J1" ("J1"); Footprint = "PHOE-1714955_V"; UniqueID = "\ZCCWURSL" ("\ZCCWURSL")
Change component parameters (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Conn"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Data+Sheet%7F82056_MTA%7F0818%7Fpdf%7FEnglish%7FENG_DS_82056_MTA_0818.pdf%7F4-644456-0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn Gender"; Value = "Male"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Conn Orientation"; Value = "Vertical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Material"; Value = "Tin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "5A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L1"; Value = "Connectors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L2"; Value = "Headers and Wire Housings"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L3"; Value = "unset"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey Description"; Value = "CONN HEADER VERT 10POS 2.54MM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Footprint Url"; Value = "https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F644456%7FD2%7Fpdf%7FEnglish%7FENG_CD_644456_D2.pdf%7F4-644456-0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.408inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "4-644456-0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Description"; Value = "Headers & Wire Housings NARROW FLT HDR 10P Straight Post"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number Of Contacts"; Value = "10"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number Of Rows"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Octopart"; Value = "https://octopart.com/4-644456-0-te+connectivity-39514173"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "4-644456-0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pitch"; Value = "2.54mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature"; Value = "-55°C to +105°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range High"; Value = "+105°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range Low"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating"; Value = "250V"; VariantName = "[No Variations]"
Added Component: Designator=C6(FP-TAJA-MFG)
Add component (AddParameter): Name = "Capacitance"; Value = "100nF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Imperial)"; Value = "1206"; VariantName = "[No Variations]"
