Altium Designer Pick and Place Locations
C:\Users\Canela\Documents\Projeto\Altium\MecaVac\AltiumProject\MecaVac\Project Outputs for MecaVac\Pick Place for MecaVac.csv

========================================================================================================================
File Design Information:

Date:       21/12/22
Time:       19:38
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"F1","64600001223","TopLayer","FP-64600001223-MFG","28.7020mm","6.3500mm","180","FUSE BLOCK CART 250V 6.3A PCB"
"SW2","PTS645SM43SMTR92LFS","TopLayer","FP-PTS645SM43SMTR92LFS-MFG","114.5900mm","56.2990mm","270","SWITCH TACTILE SPST-NO 0.05A 12V"
"SW1","PTS645SM43SMTR92LFS","TopLayer","FP-PTS645SM43SMTR92LFS-MFG","114.5900mm","24.0462mm","270","SWITCH TACTILE SPST-NO 0.05A 12V"
"LS1","PKB24SPCH3601-B0","TopLayer","FP-PKB24SPCH3601-B0-MFG","14.0000mm","66.0000mm","90","AUDIO PIEZO TRANSDUCER 3-15V TH"
"P9","22-27-2021","TopLayer","MOLX-22-27-2021_V","52.7050mm","61.8490mm","180","Male Header, Pitch 2.54 mm, 1 x 2 Position, Height 11.7 mm, Tail Length 3.56 mm, 0 to 75 degC, RoHS, Bulk"
"P10","22-27-2021","TopLayer","MOLX-22-27-2021_V","46.3550mm","61.8490mm","180","Male Header, Pitch 2.54 mm, 1 x 2 Position, Height 11.7 mm, Tail Length 3.56 mm, 0 to 75 degC, RoHS, Bulk"
"P11","22-27-2021","TopLayer","MOLX-22-27-2021_V","78.6130mm","4.6990mm","0","Male Header, Pitch 2.54 mm, 1 x 2 Position, Height 11.7 mm, Tail Length 3.56 mm, 0 to 75 degC, RoHS, Bulk"
"P8","22-27-2041","TopLayer","MOLX-22-27-2041_V","43.5610mm","75.4380mm","180","Male Header, Pitch 2.54 mm, 1 x 4 Position, Height 11.7 mm, Tail Length 3.56 mm, RoHS, Bulk"
"P7","22-27-2021","TopLayer","MOLX-22-27-2021_V","93.4720mm","18.5420mm","0","Male Header, Pitch 2.54 mm, 1 x 2 Position, Height 11.7 mm, Tail Length 3.56 mm, 0 to 75 degC, RoHS, Bulk"
"P6","22-27-2021","TopLayer","MOLX-22-27-2021_V","99.8220mm","18.5420mm","0","Male Header, Pitch 2.54 mm, 1 x 2 Position, Height 11.7 mm, Tail Length 3.56 mm, 0 to 75 degC, RoHS, Bulk"
